id,address,address_type,arrested,larceny_code,report_date,street,street_dir,street_type,time_end,time_start,x,y,crime_type_id
973,100 W ONONDAGA ST,StreetAddress,true,All Other,2022-05-12 00:00:00.000000,ONONDAGA, ,ST,1302,1302,-76.152370760135,43.0443507345393,1
974,"300 W OSTRANDER, 13205",PointAddress,true,,2022-06-28 00:00:00.000000,OSTRANDER, ,,1036,1036,-76.1483452072597,43.0140423878138,5
975,"300 WAINWRIGHT, 13208",PointAddress,false,From Motor Vehicle,2022-04-16 00:00:00.000000,WAINWRIGHT, ,,309,309,-76.1333647075398,43.0771503760268,1
976,"300 WHITTIER, 13204",PointAddress,false,All Other,2022-06-12 00:00:00.000000,WHITTIER, ,,42,42,-76.1824371939302,43.0452543837995,1
977,"300 WHITTIER, 13204",PointAddress,false,From Motor Vehicle,2022-05-13 00:00:00.000000,WHITTIER, ,,700,130,-76.1824371939302,43.0452543837995,2
978,"300 WOODRUFF, 13203",PointAddress,false,,2022-05-25 00:00:00.000000,WOODRUFF, ,,2130,1700,-76.1376442055906,43.0712013774737,3
979,"3000 MIDLAND, 13205",PointAddress,true,,2022-04-13 00:00:00.000000,MIDLAND, ,,1021,1021,-76.1480257071054,43.0111713881007,5
980,"3200 MIDLAND, 13205",PointAddress,false,From Building,2022-07-12 00:00:00.000000,MIDLAND, ,,135,135,-76.1477602078378,43.0085253891249,3
981,100 W SENECA TPKE,StreetAddress,false,All Other,2022-01-17 00:00:00.000000,SENECA, ,TPKE,1031,1031,-76.1427969768451,43.0007911429478,1
982,"3600 MIDLAND, 13205",PointAddress,false,From Motor Vehicle,2022-07-14 00:00:00.000000,MIDLAND, ,,600,500,-76.1475937076791,43.0052583897681,1
983,100 STRONG AVE,StreetAddress,false,From Motor Vehicle,2022-03-15 00:00:00.000000,STRONG, ,AVE,450,350,-76.1181720605918,43.038893276826,1
984,100 W SENECA TPKE,StreetAddress,false,All Other,2022-03-16 00:00:00.000000,SENECA, ,TPKE,1130,1130,-76.1427969768451,43.0007911429478,1
985,100 W SENECA TPKE,StreetAddress,false,All Other,2022-02-05 00:00:00.000000,SENECA, ,TPKE,0,0,-76.1427969768451,43.0007911429478,1
986,100 W TAYLOR ST,StreetAddress,false,,2022-07-13 00:00:00.000000,TAYLOR, ,ST,1050,800,-76.1502953017127,43.0392107211625,1
987,"400 BURDICK, 13208",PointAddress,false,All Other,2022-07-04 00:00:00.000000,BURDICK, ,,1730,1730,-76.1560266995724,43.0776273765606,1
988,"400 BURDICK, 13208",PointAddress,false,,2022-05-21 00:00:00.000000,BURDICK, ,,1805,1805,-76.1560266995724,43.0776273765606,5
989,"400 BURNET, 13203",PointAddress,false,From Building,2022-01-03 00:00:00.000000,BURNET, ,,1545,2200,-76.1418562066675,43.0521213810356,3
990,100 WALL ST,StreetAddress,true,From Building,2022-03-03 00:00:00.000000,WALL, ,ST,1536,1530,-76.1730343101102,43.0485389627987,3
991,100 W WATER ST,StreetAddress,false,All Other,2022-05-19 00:00:00.000000,WATER, ,ST,1159,115,-76.1522615874593,43.0506163039843,1
992,100 WALRATH RD,StreetAddress,false,,2022-02-15 00:00:00.000000,WALRATH, ,RD,1618,1618,-76.1420814640808,43.0106422983353,5
993,"400 COMSTOCK, 13244",PointAddress,false,From Building,2022-07-18 00:00:00.000000,COMSTOCK, ,,445,400,-76.1306737107598,43.042059382604,3
994,"400 COMSTOCK, 13244",PointAddress,false,All Other,2022-04-09 00:00:00.000000,COMSTOCK, ,,1600,1,-76.1306737107598,43.042059382604,1
995,100 W LAFAYETTE AVE,StreetAddress,false,From Motor Vehicle,2022-08-02 00:00:00.000000,LAFAYETTE, ,AVE,3,3,-76.1425807105565,43.0197191285743,4
996,100 WALRATH RD,StreetAddress,true,,2022-03-23 00:00:00.000000,WALRATH, ,RD,1420,1400,-76.1420814640808,43.0106422983353,5
997,"400 COMSTOCK, 13244",PointAddress,true,All Other,2022-04-08 00:00:00.000000,COMSTOCK, ,,1409,1409,-76.1306737107598,43.042059382604,1
998,"400 COMSTOCK, 13244",PointAddress,false,,2022-07-20 00:00:00.000000,COMSTOCK, ,,346,346,-76.1306737107598,43.042059382604,3
999,100 WALRATH RD,StreetAddress,true,,2022-04-22 00:00:00.000000,WALRATH, ,RD,2338,2338,-76.1420814640808,43.0106422983353,5
1000,100 WALRATH RD,StreetAddress,false,,2022-03-02 00:00:00.000000,WALRATH, ,RD,1455,1445,-76.1420814640808,43.0106422983353,5
1001,100 WALTON ST,StreetAddress,true,All Other,2022-03-02 00:00:00.000000,WALTON, ,ST,1300,1300,-76.1536428817001,43.0480334966084,1
1002,100 WALTON ST,StreetAddress,true,,2022-02-17 00:00:00.000000,WALTON, ,ST,324,324,-76.1536428817001,43.0480334966084,4
1003,"400 DURSTON, 13203",PointAddress,false,Motor Vehicle,2022-07-24 00:00:00.000000,DURSTON, ,,2300,1800,-76.1270422100916,43.0685193773924,2
1004,100 WALTON ST,StreetAddress,false,,2022-01-07 00:00:00.000000,WALTON, ,ST,1237,1237,-76.1536428817001,43.0480334966084,5
1005,"400 W BRIGHTON, 13205",PointAddress,false,From Motor Vehicle,2022-02-03 00:00:00.000000,BRIGHTON, ,,1600,1100,-76.1512567050371,43.019955387108,1
1006,"400 W BRIGHTON, 13205",PointAddress,false,Motor Vehicle,2022-02-28 00:00:00.000000,BRIGHTON, ,,627,627,-76.1512567050371,43.019955387108,2
1007,100 WALTON ST,StreetAddress,false,All Other,2022-02-17 00:00:00.000000,WALTON, ,ST,1200,1200,-76.1536428817001,43.0480334966084,1
1008,"400 W BRIGHTON, 13205",PointAddress,true,Shoplifting,2022-01-26 00:00:00.000000,BRIGHTON, ,,1833,1833,-76.1512567050371,43.019955387108,4
1009,100 WALTON ST,StreetAddress,false,From Building,2022-04-22 00:00:00.000000,WALTON, ,ST,1435,2000,-76.1536428817001,43.0480334966084,3
1010,"400 W BRIGHTON, 13205",PointAddress,false,All Other,2022-05-23 00:00:00.000000,BRIGHTON, ,,1139,1030,-76.1512567050371,43.019955387108,1
1011,100 WALTON ST,StreetAddress,true,,2022-02-11 00:00:00.000000,WALTON, ,ST,1322,1322,-76.1536428817001,43.0480334966084,5
1012,100 WALTON ST,StreetAddress,true,,2022-06-05 00:00:00.000000,WALTON, ,ST,1830,1830,-76.1536428817001,43.0480334966084,5
1013,"400 ENGLEWOOD, 13207",PointAddress,true,Motor Vehicle,2022-02-05 00:00:00.000000,ENGLEWOOD, ,,1200,0,-76.1576512042175,43.0043403898178,2
1014,100 WEISER CT,StreetAddress,false,,2022-04-08 00:00:00.000000,WEISER, ,CT,752,1800,-76.1449147688535,43.0426858541405,5
1015,100 W SENECA TPKE,StreetAddress,false,From Motor Vehicle,2022-01-24 00:00:00.000000,SENECA, ,TPKE,1125,1125,-76.1427969768451,43.0007911429478,1
1016,100 WEISER CT,StreetAddress,false,From Motor Vehicle,2022-05-28 00:00:00.000000,WEISER, ,CT,630,1900,-76.1449147688535,43.0426858541405,1
1017,100 WASHINGTON SQ,StreetAddress,false,,2022-03-17 00:00:00.000000,WASHINGTON, ,SQ,1035,1035,-76.1620378423128,43.0701104780816,5
1018,100 WEISER CT,StreetAddress,true,,2022-07-21 00:00:00.000000,WEISER, ,CT,1938,1930,-76.1449147688535,43.0426858541405,1
1019,100 WEISER CT,StreetAddress,false,From Motor Vehicle,2022-05-28 00:00:00.000000,WEISER, ,CT,942,430,-76.1449147688535,43.0426858541405,1
